item_id,product_name,category
PROD-001,Laptop,ELECTRONICS
PROD-002,Smartphone,ELECTRONICS
PROD-003,Headphones,ELECTRONICS
PROD-004,Tablet,ELECTRONICS
PROD-005,Keyboard,ELECTRONICS
PROD-006,Monitor,ELECTRONICS
PROD-007,Mouse,ELECTRONICS
PROD-008,Webcam,ELECTRONICS
PROD-009,Speaker,ELECTRONICS
PROD-010,Printer,ELECTRONICS
PROD-011,External Hard Drive,ELECTRONICS
PROD-012,USB Flash Drive,ELECTRONICS
PROD-013,Router,ELECTRONICS
PROD-014,Smartwatch,WEARABLES
PROD-015,Bluetooth Earbuds,WEARABLES
PROD-016,Gaming Keyboard,ELECTRONICS
PROD-017,Gaming Mouse,ELECTRONICS
PROD-018,LED Monitor,ELECTRONICS
PROD-019,Mechanical Keyboard,ELECTRONICS
PROD-020,Laptop Stand,ACCESSORIES
PROD-021,Tablet Cover,ACCESSORIES
PROD-022,Wireless Charger,ACCESSORIES
PROD-023,Power Bank,ACCESSORIES
PROD-024,Graphics Card,ELECTRONICS
PROD-025,Processor,ELECTRONICS
PROD-026,Motherboard,ELECTRONICS
PROD-027,RAM 16GB,ELECTRONICS
PROD-028,RAM 32GB,ELECTRONICS
PROD-029,SSD 512GB,ELECTRONICS
PROD-030,SSD 1TB,ELECTRONICS
PROD-031,HDD 1TB,ELECTRONICS
PROD-032,HDD 2TB,ELECTRONICS
PROD-033,Microphone,ELECTRONICS
PROD-034,Headset,ELECTRONICS
PROD-035,Projector,ELECTRONICS
PROD-036,Smart TV,ELECTRONICS
PROD-037,Air Conditioner,HOME APPLIANCES
PROD-038,Refrigerator,HOME APPLIANCES
PROD-039,Washing Machine,HOME APPLIANCES
PROD-040,Electric Kettle,HOME APPLIANCES
PROD-041,Microwave Oven,HOME APPLIANCES
PROD-042,Induction Stove,HOME APPLIANCES
PROD-043,Coffee Maker,HOME APPLIANCES
PROD-044,Water Purifier,HOME APPLIANCES
PROD-045,Vacuum Cleaner,HOME APPLIANCES
PROD-046,Ceiling Fan,HOME APPLIANCES
PROD-047,Table Fan,HOME APPLIANCES
PROD-048,Air Purifier,HOME APPLIANCES
PROD-049,Iron Box,HOME APPLIANCES
PROD-050,Hair Dryer,HOME APPLIANCES
PROD-051,Yoga Mat,SPORTS
PROD-052,Dumbbell Set,SPORTS
PROD-053,Treadmill,SPORTS
PROD-054,Exercise Bike,SPORTS
PROD-055,Jump Rope,SPORTS
PROD-056,Basketball,SPORTS
PROD-057,Soccer Ball,SPORTS
PROD-058,Running Shoes,SPORTS
PROD-059,Sports Jacket,SPORTS
PROD-060,Swim Goggles,SPORTS
PROD-061,Cookware Set,KITCHEN
PROD-062,Knife Set,KITCHEN
PROD-063,Non-stick Pan,KITCHEN
PROD-064,Blender,KITCHEN
PROD-065,Food Processor,KITCHEN
PROD-066,Toaster,KITCHEN
PROD-067,Juicer,KITCHEN
PROD-068,Pressure Cooker,KITCHEN
PROD-069,Slow Cooker,KITCHEN
PROD-070,Rice Cooker,KITCHEN
PROD-071,LED Bulb,HOME IMPROVEMENT
PROD-072,Extension Cord,HOME IMPROVEMENT
PROD-073,Power Strip,HOME IMPROVEMENT
PROD-074,Wall Clock,HOME IMPROVEMENT
PROD-075,Table Lamp,HOME IMPROVEMENT
PROD-076,Desk Lamp,HOME IMPROVEMENT
PROD-077,Sofa,HOME FURNITURE
PROD-078,Dining Table,HOME FURNITURE
PROD-079,Office Chair,HOME FURNITURE
PROD-080,Bed Frame,HOME FURNITURE
PROD-081,Mattress,HOME FURNITURE
PROD-082,Bookshelf,HOME FURNITURE
PROD-083,Side Table,HOME FURNITURE
PROD-084,Coffee Table,HOME FURNITURE
PROD-085,TV Stand,HOME FURNITURE
PROD-086,Gaming Chair,GAMING
PROD-087,Gaming Desk,GAMING
PROD-088,VR Headset,GAMING
PROD-089,Joystick,GAMING
PROD-090,Steering Wheel,GAMING
PROD-091,Graphics Tablet,ARTS
PROD-092,Sketch Pad,ARTS
PROD-093,Watercolor Set,ARTS
PROD-094,Oil Paint Set,ARTS
PROD-095,Easel,ARTS
PROD-096,Canvas,ARTS
PROD-097,Palette,ARTS
PROD-098,Paint Brushes,ARTS
PROD-099,Art Storage Box,ARTS
PROD-100,Calligraphy Set,ARTS
